time: 0.000;  p: 0.000 0.000 0.200;  v: 0.000 0.000 0.000
time: 0.001;  p: 0.000 0.000 0.200;  v: 0.000 0.001 0.000
time: 0.002;  p: 0.000 0.000 0.200;  v: 0.000 0.001 0.000
time: 0.003;  p: 0.000 0.000 0.200;  v: 0.000 0.002 0.000
time: 0.004;  p: 0.000 0.000 0.200;  v: 0.000 0.003 0.000
time: 0.005;  p: 0.000 0.000 0.200;  v: 0.000 0.003 0.000
time: 0.006;  p: 0.000 0.000 0.200;  v: 0.000 0.004 0.000
time: 0.007;  p: 0.000 0.000 0.200;  v: 0.000 0.005 0.000
time: 0.008;  p: 0.000 0.000 0.200;  v: 0.000 0.005 0.000
time: 0.009;  p: 0.000 0.000 0.200;  v: 0.000 0.006 0.000
time: 0.010;  p: 0.000 0.000 0.200;  v: 0.000 0.007 0.000
time: 0.011;  p: 0.000 0.000 0.200;  v: 0.000 0.007 0.000
time: 0.012;  p: 0.000 0.000 0.200;  v: 0.000 0.008 0.000
time: 0.013;  p: 0.000 0.000 0.200;  v: 0.000 0.009 0.000
time: 0.014;  p: 0.000 0.000 0.200;  v: 0.000 0.009 0.000
time: 0.015;  p: 0.000 0.000 0.200;  v: 0.000 0.010 0.000
time: 0.016;  p: 0.000 0.000 0.200;  v: 0.000 0.011 0.000
time: 0.017;  p: 0.000 0.000 0.200;  v: 0.000 0.011 0.000
time: 0.018;  p: 0.000 0.000 0.200;  v: 0.000 0.012 0.000
time: 0.019;  p: 0.000 0.000 0.200;  v: 0.000 0.013 0.000
time: 0.020;  p: 0.000 0.000 0.200;  v: 0.000 0.013 0.000
time: 0.021;  p: 0.000 0.000 0.200;  v: 0.000 0.014 0.000
time: 0.022;  p: 0.000 0.000 0.200;  v: 0.000 0.015 0.000
time: 0.023;  p: 0.000 0.000 0.200;  v: 0.000 0.015 0.000
time: 0.024;  p: 0.000 0.000 0.200;  v: 0.000 0.016 0.000
time: 0.025;  p: 0.000 0.000 0.200;  v: 0.000 0.017 0.000
time: 0.026;  p: 0.000 0.000 0.200;  v: 0.000 0.017 0.000
time: 0.027;  p: 0.000 0.000 0.200;  v: 0.000 0.018 0.000
time: 0.028;  p: 0.000 0.000 0.200;  v: 0.000 0.019 0.000
time: 0.029;  p: 0.000 0.000 0.200;  v: 0.000 0.019 0.000
time: 0.030;  p: 0.000 0.000 0.200;  v: 0.000 0.020 0.000
time: 0.031;  p: 0.000 0.000 0.200;  v: 0.000 0.021 0.000
time: 0.032;  p: 0.000 0.000 0.200;  v: 0.000 0.021 0.000
time: 0.033;  p: 0.000 0.000 0.200;  v: 0.000 0.022 0.000
time: 0.034;  p: 0.000 0.000 0.200;  v: 0.000 0.023 0.000
time: 0.035;  p: 0.000 0.000 0.200;  v: 0.000 0.023 0.000
time: 0.036;  p: 0.000 0.000 0.200;  v: 0.000 0.024 0.000
time: 0.037;  p: 0.000 0.000 0.200;  v: 0.000 0.025 0.000
time: 0.038;  p: 0.000 0.000 0.200;  v: 0.000 0.025 0.000
time: 0.039;  p: 0.000 0.000 0.200;  v: 0.000 0.026 0.000
time: 0.040;  p: 0.000 0.001 0.200;  v: 0.000 0.027 0.000
time: 0.041;  p: 0.000 0.001 0.200;  v: 0.000 0.027 0.000
time: 0.042;  p: 0.000 0.001 0.200;  v: 0.000 0.028 0.000
time: 0.043;  p: 0.000 0.001 0.200;  v: 0.000 0.029 0.000
time: 0.044;  p: 0.000 0.001 0.200;  v: 0.000 0.029 0.000
time: 0.045;  p: 0.000 0.001 0.200;  v: 0.000 0.030 0.000
time: 0.046;  p: 0.000 0.001 0.200;  v: 0.000 0.031 0.000
time: 0.047;  p: 0.000 0.001 0.200;  v: 0.000 0.031 0.000
time: 0.048;  p: 0.000 0.001 0.200;  v: 0.000 0.032 0.000
time: 0.049;  p: 0.000 0.001 0.200;  v: 0.000 0.033 0.000
time: 0.050;  p: 0.000 0.001 0.200;  v: 0.000 0.033 0.000
time: 0.051;  p: 0.000 0.001 0.200;  v: 0.000 0.034 0.000
time: 0.052;  p: 0.000 0.001 0.200;  v: 0.000 0.035 0.000
time: 0.053;  p: 0.000 0.001 0.200;  v: 0.000 0.035 0.000
time: 0.054;  p: 0.000 0.001 0.200;  v: 0.000 0.036 0.000
time: 0.055;  p: 0.000 0.001 0.200;  v: 0.000 0.037 0.000
time: 0.056;  p: 0.000 0.001 0.200;  v: 0.000 0.037 0.000
time: 0.057;  p: 0.000 0.001 0.200;  v: 0.000 0.038 0.000
time: 0.058;  p: 0.000 0.001 0.200;  v: 0.000 0.039 0.000
time: 0.059;  p: 0.000 0.001 0.200;  v: 0.000 0.039 0.000
time: 0.060;  p: 0.000 0.001 0.200;  v: 0.000 0.040 0.000
time: 0.061;  p: 0.000 0.001 0.200;  v: 0.000 0.041 0.000
time: 0.062;  p: 0.000 0.001 0.200;  v: 0.000 0.041 0.000
time: 0.063;  p: 0.000 0.001 0.200;  v: 0.000 0.042 0.000
time: 0.064;  p: 0.000 0.001 0.200;  v: 0.000 0.043 0.000
time: 0.065;  p: 0.000 0.001 0.200;  v: 0.000 0.043 0.000
time: 0.066;  p: 0.000 0.001 0.200;  v: 0.000 0.044 0.000
time: 0.067;  p: 0.000 0.001 0.200;  v: 0.000 0.045 0.000
time: 0.068;  p: 0.000 0.002 0.200;  v: 0.000 0.045 0.000
time: 0.069;  p: 0.000 0.002 0.200;  v: 0.000 0.046 0.000
time: 0.070;  p: 0.000 0.002 0.200;  v: 0.000 0.047 0.000
time: 0.071;  p: 0.000 0.002 0.200;  v: 0.000 0.047 0.000
time: 0.072;  p: 0.000 0.002 0.200;  v: 0.000 0.048 0.000
time: 0.073;  p: 0.000 0.002 0.200;  v: 0.000 0.049 0.000
time: 0.074;  p: 0.000 0.002 0.200;  v: 0.000 0.049 0.000
time: 0.075;  p: 0.000 0.002 0.200;  v: 0.000 0.050 0.000
time: 0.076;  p: 0.000 0.002 0.200;  v: 0.000 0.051 0.000
time: 0.077;  p: 0.000 0.002 0.200;  v: 0.000 0.051 0.000
time: 0.078;  p: 0.000 0.002 0.200;  v: 0.000 0.052 0.000
time: 0.079;  p: 0.000 0.002 0.200;  v: 0.000 0.053 0.000
time: 0.080;  p: 0.000 0.002 0.200;  v: 0.000 0.053 0.000
time: 0.081;  p: 0.000 0.002 0.200;  v: 0.000 0.054 0.000
time: 0.082;  p: 0.000 0.002 0.200;  v: 0.000 0.055 0.000
time: 0.083;  p: 0.000 0.002 0.200;  v: 0.000 0.055 0.000
time: 0.084;  p: 0.000 0.002 0.200;  v: 0.000 0.056 0.000
time: 0.085;  p: 0.000 0.002 0.200;  v: 0.000 0.057 0.000
time: 0.086;  p: 0.000 0.002 0.200;  v: 0.000 0.057 0.000
time: 0.087;  p: 0.000 0.002 0.200;  v: 0.000 0.058 0.000
time: 0.088;  p: 0.000 0.003 0.200;  v: 0.000 0.059 0.000
time: 0.089;  p: 0.000 0.003 0.200;  v: 0.000 0.059 0.000
time: 0.090;  p: 0.000 0.003 0.200;  v: 0.000 0.060 0.000
time: 0.091;  p: 0.000 0.003 0.200;  v: 0.000 0.061 0.000
time: 0.092;  p: 0.000 0.003 0.200;  v: 0.000 0.061 0.000
time: 0.093;  p: 0.000 0.003 0.200;  v: 0.000 0.062 0.000
time: 0.094;  p: 0.000 0.003 0.200;  v: 0.000 0.063 0.000
time: 0.095;  p: 0.000 0.003 0.200;  v: 0.000 0.063 0.000
time: 0.096;  p: 0.000 0.003 0.200;  v: 0.000 0.064 0.000
time: 0.097;  p: 0.000 0.003 0.200;  v: 0.000 0.065 0.000
time: 0.098;  p: 0.000 0.003 0.200;  v: 0.000 0.065 0.000
time: 0.099;  p: 0.000 0.003 0.200;  v: 0.000 0.066 0.000
time: 0.100;  p: 0.000 0.003 0.200;  v: 0.000 0.067 0.000
time: 0.101;  p: 0.000 0.003 0.200;  v: 0.000 0.067 0.000
time: 0.102;  p: 0.000 0.003 0.200;  v: 0.000 0.068 0.000
time: 0.103;  p: 0.000 0.004 0.200;  v: 0.000 0.069 0.000
time: 0.104;  p: 0.000 0.004 0.200;  v: 0.000 0.069 0.000
time: 0.105;  p: 0.000 0.004 0.200;  v: 0.000 0.070 0.000
time: 0.106;  p: 0.000 0.004 0.200;  v: 0.000 0.071 0.000
time: 0.107;  p: 0.000 0.004 0.200;  v: 0.000 0.071 0.000
time: 0.108;  p: 0.000 0.004 0.200;  v: 0.000 0.072 0.000
time: 0.109;  p: 0.000 0.004 0.200;  v: 0.000 0.073 0.000
time: 0.110;  p: 0.000 0.004 0.200;  v: 0.000 0.073 0.000
time: 0.111;  p: 0.000 0.004 0.200;  v: 0.000 0.074 0.000
time: 0.112;  p: 0.000 0.004 0.200;  v: 0.000 0.075 0.000
time: 0.113;  p: 0.000 0.004 0.200;  v: 0.000 0.075 0.000
time: 0.114;  p: 0.000 0.004 0.200;  v: 0.000 0.076 0.000
time: 0.115;  p: 0.000 0.004 0.200;  v: 0.000 0.077 0.000
time: 0.116;  p: 0.000 0.004 0.200;  v: 0.000 0.077 0.000
time: 0.117;  p: 0.000 0.005 0.200;  v: 0.000 0.078 0.000
time: 0.118;  p: 0.000 0.005 0.200;  v: 0.000 0.079 0.000
time: 0.119;  p: 0.000 0.005 0.200;  v: 0.000 0.079 0.000
time: 0.120;  p: 0.000 0.005 0.200;  v: 0.000 0.080 0.000
time: 0.121;  p: 0.000 0.005 0.200;  v: 0.000 0.081 0.000
time: 0.122;  p: 0.000 0.005 0.200;  v: 0.000 0.081 0.000
time: 0.123;  p: 0.000 0.005 0.200;  v: 0.000 0.082 0.000
time: 0.124;  p: 0.000 0.005 0.200;  v: 0.000 0.083 0.000
time: 0.125;  p: 0.000 0.005 0.200;  v: 0.000 0.083 0.000
time: 0.126;  p: 0.000 0.005 0.200;  v: 0.000 0.084 0.000
time: 0.127;  p: 0.000 0.005 0.200;  v: 0.000 0.085 0.000
time: 0.128;  p: 0.000 0.005 0.200;  v: 0.000 0.085 0.000
time: 0.129;  p: 0.000 0.006 0.200;  v: 0.000 0.086 0.000
time: 0.130;  p: 0.000 0.006 0.200;  v: 0.000 0.087 0.000
time: 0.131;  p: 0.000 0.006 0.200;  v: 0.000 0.087 0.000
time: 0.132;  p: 0.000 0.006 0.200;  v: 0.000 0.088 0.000
time: 0.133;  p: 0.000 0.006 0.200;  v: 0.000 0.089 0.000
time: 0.134;  p: 0.000 0.006 0.200;  v: 0.000 0.089 0.000
time: 0.135;  p: 0.000 0.006 0.200;  v: 0.000 0.090 0.000
time: 0.136;  p: 0.000 0.006 0.200;  v: 0.000 0.091 0.000
time: 0.137;  p: 0.000 0.006 0.200;  v: 0.000 0.091 0.000
time: 0.138;  p: 0.000 0.006 0.200;  v: 0.000 0.092 0.000
time: 0.139;  p: 0.000 0.006 0.200;  v: 0.000 0.093 0.000
time: 0.140;  p: 0.000 0.006 0.200;  v: 0.000 0.093 0.000
time: 0.141;  p: 0.000 0.007 0.200;  v: 0.000 0.094 0.000
time: 0.142;  p: 0.000 0.007 0.200;  v: 0.000 0.095 0.000
time: 0.143;  p: 0.000 0.007 0.200;  v: 0.000 0.095 0.000
time: 0.144;  p: 0.000 0.007 0.200;  v: 0.000 0.096 0.000
time: 0.145;  p: 0.000 0.007 0.200;  v: 0.000 0.097 0.000
time: 0.146;  p: 0.000 0.007 0.200;  v: 0.000 0.097 0.000
time: 0.147;  p: 0.000 0.007 0.200;  v: 0.000 0.098 0.000
time: 0.148;  p: 0.000 0.007 0.200;  v: 0.000 0.099 0.000
time: 0.149;  p: 0.000 0.007 0.200;  v: 0.000 0.099 0.000
time: 0.150;  p: 0.000 0.007 0.200;  v: 0.000 0.100 0.000
time: 0.151;  p: 0.000 0.008 0.200;  v: 0.000 0.101 0.000
time: 0.152;  p: 0.000 0.008 0.200;  v: 0.000 0.101 0.000
time: 0.153;  p: 0.000 0.008 0.200;  v: 0.000 0.102 0.000
time: 0.154;  p: 0.000 0.008 0.200;  v: 0.000 0.103 0.000
time: 0.155;  p: 0.000 0.008 0.200;  v: 0.000 0.103 0.000
time: 0.156;  p: 0.000 0.008 0.200;  v: 0.000 0.104 0.000
time: 0.157;  p: 0.000 0.008 0.200;  v: 0.000 0.105 0.000
time: 0.158;  p: 0.000 0.008 0.200;  v: 0.000 0.105 0.000
time: 0.159;  p: 0.000 0.008 0.200;  v: 0.000 0.106 0.000
time: 0.160;  p: 0.000 0.008 0.200;  v: 0.000 0.107 0.000
time: 0.161;  p: 0.000 0.009 0.200;  v: 0.000 0.107 0.000
time: 0.162;  p: 0.000 0.009 0.200;  v: 0.000 0.108 0.000
time: 0.163;  p: 0.000 0.009 0.200;  v: 0.000 0.109 0.000
time: 0.164;  p: 0.000 0.009 0.200;  v: 0.000 0.109 0.000
time: 0.165;  p: 0.000 0.009 0.200;  v: 0.000 0.110 0.000
time: 0.166;  p: 0.000 0.009 0.200;  v: 0.000 0.111 0.000
time: 0.167;  p: 0.000 0.009 0.200;  v: 0.000 0.111 0.000
time: 0.168;  p: 0.000 0.009 0.200;  v: 0.000 0.112 0.000
time: 0.169;  p: 0.000 0.009 0.200;  v: 0.000 0.113 0.000
time: 0.170;  p: 0.000 0.010 0.200;  v: 0.000 0.113 0.000
time: 0.171;  p: 0.000 0.010 0.200;  v: 0.000 0.114 0.000
time: 0.172;  p: 0.000 0.010 0.200;  v: 0.000 0.115 0.000
time: 0.173;  p: 0.000 0.010 0.200;  v: 0.000 0.115 0.000
time: 0.174;  p: 0.000 0.010 0.200;  v: 0.000 0.116 0.000
time: 0.175;  p: 0.000 0.010 0.200;  v: 0.000 0.117 0.000
time: 0.176;  p: 0.000 0.010 0.200;  v: 0.000 0.117 0.000
time: 0.177;  p: 0.000 0.010 0.200;  v: 0.000 0.118 0.000
time: 0.178;  p: 0.000 0.011 0.200;  v: 0.000 0.119 0.000
time: 0.179;  p: 0.000 0.011 0.200;  v: 0.000 0.119 0.000
time: 0.180;  p: 0.000 0.011 0.200;  v: 0.000 0.120 0.000
time: 0.181;  p: 0.000 0.011 0.200;  v: 0.000 0.121 0.000
time: 0.182;  p: 0.000 0.011 0.200;  v: 0.000 0.121 0.000
time: 0.183;  p: 0.000 0.011 0.200;  v: 0.000 0.122 0.000
time: 0.184;  p: 0.000 0.011 0.200;  v: 0.000 0.123 0.000
time: 0.185;  p: 0.000 0.011 0.200;  v: 0.000 0.123 0.000
time: 0.186;  p: 0.000 0.011 0.200;  v: 0.000 0.124 0.000
time: 0.187;  p: 0.000 0.012 0.200;  v: 0.000 0.125 0.000
time: 0.188;  p: 0.000 0.012 0.200;  v: 0.000 0.125 0.000
time: 0.189;  p: 0.000 0.012 0.200;  v: 0.000 0.126 0.000
time: 0.190;  p: 0.000 0.012 0.200;  v: 0.000 0.127 0.000
time: 0.191;  p: 0.000 0.012 0.200;  v: 0.000 0.127 0.000
time: 0.192;  p: 0.000 0.012 0.200;  v: 0.000 0.128 0.000
time: 0.193;  p: 0.000 0.012 0.200;  v: 0.000 0.129 0.000
time: 0.194;  p: 0.000 0.012 0.200;  v: 0.000 0.129 0.000
time: 0.195;  p: 0.000 0.013 0.200;  v: 0.000 0.130 0.000
time: 0.196;  p: 0.000 0.013 0.200;  v: 0.000 0.131 0.000
time: 0.197;  p: 0.000 0.013 0.200;  v: 0.000 0.131 0.000
time: 0.198;  p: 0.000 0.013 0.200;  v: 0.000 0.132 0.000
time: 0.199;  p: 0.000 0.013 0.200;  v: 0.000 0.133 0.000
time: 0.200;  p: 0.000 0.013 0.200;  v: 0.000 0.133 0.000
time: 0.201;  p: 0.000 0.013 0.200;  v: 0.000 0.134 0.000
